I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p05Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p15Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p25Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p35Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p45Phi0,V_normalized_flux_8p5Phi0
0.000000000000000000e+00,-1.230322741510369355e-11,2.066607228441390012e-11,1.023443670450493252e-11,-1.198064875349571528e-11,-1.598278491643196092e-12,-4.273301259703135033e-12,-3.981252722808703826e-12,3.622159682515923596e-12,2.159431522206638991e-11,6.754893246977131425e-12,2.238877367337243837e-11
1.000000000000000021e-02,-1.240743219187159362e-13,1.687292057532857719e-12,1.704919668088247797e-01,1.858366011454197497e-01,1.884957590852268106e-01,1.917543269634486569e-01,1.947148371021186763e-01,1.944655240407615338e-01,1.929883024159449179e-01,1.970200262243169964e-01,1.933035907960021504e-01
2.000000000000000042e-02,-5.147562478595261111e-12,5.096844552175002476e-12,2.717255400417605271e-01,2.776410276787420472e-01,2.906949950237006086e-01,2.936283904788503096e-01,2.975146443969468035e-01,2.997467058094737125e-01,3.102341868544365444e-01,3.110242756600371528e-01,3.052025831694648028e-01
2.999999999999999889e-02,-1.053605773027911124e-12,8.721857305980336512e-13,2.938482741796513142e-01,5.945153732627238563e-01,5.966183103910036589e-01,5.977572187847377538e-01,5.981950212218178908e-01,5.987544948911801557e-01,5.986456340792023489e-01,5.987163254073283314e-01,5.988166268234377254e-01
4.000000000000000083e-02,3.064575411645801349e-13,2.937134385976573614e-01,3.139661607899398854e-01,7.923836318152071012e-01,7.956130575211489697e-01,7.968294994376998730e-01,7.976913532773283189e-01,7.979068682395078493e-01,7.984422900132076562e-01,7.985261880440016613e-01,7.985956101194223722e-01
5.000000000000000278e-02,-5.608080810249483220e-13,2.949101043839841285e-01,8.992934014003012289e-01,9.146573154527898319e-01,9.229463128547119588e-01,9.283699658400790256e-01,9.374701754745603521e-01,9.878988174271670086e-01,9.909252143376630073e-01,9.904000523567162428e-01,9.915196513573075743e-01
5.999999999999999778e-02,-2.088172936868141909e-12,2.998249486948663112e-01,9.272542926943988517e-01,1.197048661397703606e+00,1.198308653328823414e+00,1.198695289349325011e+00,1.199129796368253453e+00,1.199211645531568227e+00,1.199237599648017349e+00,1.199502895938262537e+00,1.199471724778101267e+00
7.000000000000000666e-02,-5.451442583118679076e-13,8.795420133011953023e-01,1.390609426012633376e+00,1.396529073548681277e+00,1.397687845263797302e+00,1.398598600071440989e+00,1.398826167639660945e+00,1.399132954308047294e+00,1.399249821480287315e+00,1.399173386838415079e+00,1.399208831497921857e+00
8.000000000000000167e-02,1.158316723511989707e-12,1.476807538645120488e+00,1.526104096006183353e+00,1.539793484477438579e+00,1.550650426615977295e+00,1.555861214840108975e+00,1.564353598759016695e+00,1.567945965233435768e+00,1.572207959343888684e+00,1.574769867808113233e+00,1.575481561111360840e+00
8.999999999999999667e-02,-6.191936986506171217e-13,1.513451973242223580e+00,1.794157183692836943e+00,1.797647129421511281e+00,1.798633603965121841e+00,1.799051721837503059e+00,1.799282031024969974e+00,1.799448005918051985e+00,1.799481140726811423e+00,1.799547853817307086e+00,1.799561926430942593e+00
1.000000000000000056e-01,-1.530856172424735949e-12,1.529266274343317855e+00,1.990470730261215904e+00,1.997747357252648959e+00,1.998491920882216721e+00,1.999144633302526453e+00,1.999340231011900837e+00,1.999390031842608551e+00,1.999551722960601241e+00,1.999583555510693111e+00,1.999599104731066834e+00
1.100000000000000006e-01,7.554968472618099898e-13,1.827124510867700780e+00,2.142932489057468803e+00,2.162946789859633068e+00,2.171744690348410334e+00,2.175333327173375242e+00,2.179160994045834077e+00,2.182205886788228355e+00,2.182598153319502465e+00,2.184842787354750016e+00,2.185106633158644396e+00
1.199999999999999956e-01,9.545332629217078623e-13,1.850362768430794391e+00,2.172091020085022528e+00,2.397907562902535705e+00,2.398638265316967111e+00,2.399142439762473433e+00,2.399483829302052396e+00,2.399382069517819183e+00,2.399558502293024365e+00,2.399568776241456813e+00,2.399673566408035974e+00
1.300000000000000044e-01,-1.360995222016129942e-12,2.100374317804499569e+00,2.594168562695358116e+00,2.598102445717150655e+00,2.599012802724435911e+00,2.599354305948959443e+00,2.599516546222793600e+00,2.599604223558245497e+00,2.599655074955385725e+00,2.599685306863725565e+00,2.599692926886791433e+00
1.400000000000000133e-01,-1.482983507572415586e-13,2.141858699993253179e+00,2.761039877094928485e+00,2.776016357926375910e+00,2.783557133852742727e+00,2.787607442197832075e+00,2.790124329158348182e+00,2.791569589322651535e+00,2.792146951454281378e+00,2.792485664294304115e+00,2.792326030826891792e+00
1.499999999999999944e-01,1.314083224861520791e-12,2.371604552867276450e+00,2.992143320743840817e+00,2.997537392737286588e+00,2.998813617050385183e+00,2.999154972019598464e+00,2.999500873733420114e+00,2.999618431987575384e+00,2.999657235218836426e+00,2.999550225716152152e+00,2.999550123070053864e+00
1.600000000000000033e-01,-1.018064206046021230e-12,2.526175884343126121e+00,3.193902696723280865e+00,3.198164231248041833e+00,3.199181899202649060e+00,3.199474402301347276e+00,3.199622761010061378e+00,3.199695327528233602e+00,3.199737861683708662e+00,3.199733030244700682e+00,3.199743079668812662e+00
1.700000000000000122e-01,-1.815074543761838777e-13,2.400229240964384392e+00,3.368671426644497036e+00,3.385918051420296671e+00,3.391072491854258963e+00,3.393781258525082389e+00,3.395132066470415211e+00,3.395918869311539634e+00,3.396436074213494027e+00,3.396572172324503480e+00,3.396605091438533286e+00
1.799999999999999933e-01,1.047112479812455806e-12,2.471480025643499889e+00,3.421704306541762275e+00,3.597329159234935680e+00,3.598806877441498742e+00,3.599158291758278949e+00,3.599364734256964127e+00,3.599487803161723232e+00,3.599573191091014479e+00,3.599612537461557515e+00,3.599587845680403131e+00
1.900000000000000022e-01,-1.174115212611194513e-12,2.412772012167968771e+00,3.791888942411163033e+00,3.798310970949422050e+00,3.799232099044481892e+00,3.799546941871356331e+00,3.799685116564156750e+00,3.799739581017066214e+00,3.799748064847821460e+00,3.799839237996352370e+00,3.799807277727810462e+00
2.000000000000000111e-01,3.535325695678458790e-13,2.609902532257005081e+00,3.970566276426946040e+00,3.989807919521939805e+00,3.994246029301802281e+00,3.996546675518239500e+00,3.997374758067789191e+00,3.997807384295997579e+00,3.998060330515459171e+00,3.998279275754784479e+00,3.998293637028499603e+00
2.099999999999999922e-01,4.667663821363557024e-13,2.693156716341555068e+00,4.034922424350543047e+00,4.196945182142910014e+00,4.198702736790308698e+00,4.198992220790225716e+00,4.199373127611869094e+00,4.199642313862186782e+00,4.199685704235236905e+00,4.199650956044053807e+00,4.199765803780348250e+00
2.200000000000000011e-01,-8.775587887088899882e-13,2.582722718593900790e+00,4.387015506217498917e+00,4.398232430222146938e+00,4.399240626221206263e+00,4.399567550775941527e+00,4.399693510174129685e+00,4.399775014200355550e+00,4.399815964597215689e+00,4.399818109193216031e+00,4.399840778657489793e+00
2.300000000000000100e-01,1.067055458651039455e-12,2.680570477666573748e+00,4.564414483494209307e+00,4.592001632300036995e+00,4.596141578690365215e+00,4.597410685029140964e+00,4.598360009921178104e+00,4.598560962777067829e+00,4.598687769327707286e+00,4.598912141295024014e+00,4.598850853242064218e+00
2.399999999999999911e-01,-7.563159164596005169e-13,2.919295522646041530e+00,4.632700312692904276e+00,4.796162462164064166e+00,4.798409002987227723e+00,4.799034597342253683e+00,4.799392877371212229e+00,4.799520041054165631e+00,4.799494084562191176e+00,4.799643954180671912e+00,4.799558220283246079e+00
2.500000000000000000e-01,4.847663912953011442e-13,4.873451149787443093e+00,4.654771866092278998e+00,4.998010533224348961e+00,4.999265957544642092e+00,4.999600283965537351e+00,4.999684633520473653e+00,4.999802610482881882e+00,4.999848979950154870e+00,4.999856824399216748e+00,4.999877544938065910e+00
2.600000000000000089e-01,-2.053567551516035213e-13,4.876051768071571146e+00,5.141113071339992402e+00,5.192544597363916381e+00,5.196746230060958815e+00,5.198167975877842295e+00,5.198614292292975669e+00,5.198957917122479344e+00,5.199051422468747852e+00,5.199187404519494571e+00,5.199179031733629053e+00
2.700000000000000178e-01,4.396379363614581628e-14,5.237493567344844614e+00,5.214169202454730367e+00,5.395394663143568081e+00,5.398342658412226491e+00,5.398931011330019736e+00,5.399320145481346422e+00,5.399465897844144990e+00,5.399614565431409829e+00,5.399611772668577281e+00,5.399666928213120443e+00
2.800000000000000266e-01,-4.039924068121457559e-14,5.235630817274892657e+00,5.237309937610715949e+00,5.597530076026628443e+00,5.599231074425206067e+00,5.599606183300601003e+00,5.599689500951484433e+00,5.599832956952166541e+00,5.599768955801444292e+00,5.599851504582946227e+00,5.599787383723444201e+00
2.899999999999999800e-01,3.672593941237280117e-14,5.242698534745653838e+00,5.248897845913336191e+00,5.791762158216454459e+00,5.796914069922824986e+00,5.798264311084991185e+00,5.798752555331660119e+00,5.799063484065348995e+00,5.799191417273764415e+00,5.799273306350736235e+00,5.799289414921893204e+00
2.999999999999999889e-01,-7.239457333406094539e-14,5.542682267193386636e+00,5.482206792535617268e+00,5.994013204757509428e+00,5.998062431809660922e+00,5.999118119789882186e+00,5.999162210557522634e+00,5.999365666394207430e+00,5.999653215130314798e+00,5.999562348122722710e+00,5.999727492604643331e+00
3.099999999999999978e-01,1.478061470465327430e-13,5.552410307117546573e+00,5.491381847290123908e+00,6.196636676154227530e+00,6.199125392147654345e+00,6.199564888417443242e+00,6.199716614095308387e+00,6.199799876658437014e+00,6.199821179460665022e+00,6.199840725930931384e+00,6.199845022557043173e+00
3.200000000000000067e-01,-2.195993592886842302e-13,6.160217247759335990e+00,5.516233200941616843e+00,6.389399705258034246e+00,6.396722083680631776e+00,6.398163160766929813e+00,6.398790967229668780e+00,6.399040197032933364e+00,6.399210411848895497e+00,6.399267729169800134e+00,6.399295970219004204e+00
3.300000000000000155e-01,1.775913865475356759e-13,6.165312845273575704e+00,5.525651039658932895e+00,6.592118530246017905e+00,6.598061308854262563e+00,6.599057713968151440e+00,6.599356583764472539e+00,6.599565788068628258e+00,6.599555627304172667e+00,6.599618742446196507e+00,6.599607842759449561e+00
3.400000000000000244e-01,-1.505060483740430420e-13,6.168662201715007676e+00,5.535031035203765271e+00,6.795047464686443384e+00,6.798992876351927173e+00,6.799514257987942401e+00,6.799683133945412017e+00,6.799740075900570169e+00,6.799871462313841874e+00,6.799842044721224887e+00,6.799907055224728047e+00
3.500000000000000333e-01,-8.235748223789212668e-14,6.181209463387239644e+00,5.542391002642087727e+00,6.983605997304991320e+00,6.995708359525218967e+00,6.997841241753321562e+00,6.998565772460392687e+00,6.998921541752306297e+00,6.999087260284836631e+00,6.999168034172675412e+00,6.999201999324986545e+00
3.599999999999999867e-01,-1.323967538616784910e-13,6.190136442849976106e+00,5.539125848422595588e+00,7.188693582729841047e+00,7.197915879985368193e+00,7.199047653545016523e+00,7.199466981818930300e+00,7.199583247250346041e+00,7.199639198861153666e+00,7.199723976452878205e+00,7.199647086111837346e+00
3.699999999999999956e-01,2.856347769875105347e-13,6.198742965942074079e+00,5.549500579228237029e+00,7.391128807016068336e+00,7.398769949955547709e+00,7.399462718844277198e+00,7.399746612178993210e+00,7.399827202966967832e+00,7.399775599191927178e+00,7.399826750810659881e+00,7.399800114465673317e+00
3.800000000000000044e-01,8.471076706159196890e-14,6.213026217568916820e+00,5.553160233771678556e+00,7.569382344748026625e+00,7.593493241766247515e+00,7.596803495182189891e+00,7.597935754723842194e+00,7.598455065563880950e+00,7.598290193119507485e+00,7.598827493030753999e+00,7.598885795416928879e+00
3.900000000000000133e-01,-4.125423721735555375e-13,6.210616322034220538e+00,5.552133985595029131e+00,7.634091850875649676e+00,7.797865324603697523e+00,7.799090609140719721e+00,7.799416814020056599e+00,7.799575121029976188e+00,7.799759740017643495e+00,7.799801555059674207e+00,7.799675667630910247e+00
4.000000000000000222e-01,1.944624538489401658e-13,6.217842348618943582e+00,5.557637327654235904e+00,7.978090227760842090e+00,7.998407427415910043e+00,7.999409933739678458e+00,7.999667641107476967e+00,7.999751922244721314e+00,7.999813710572674097e+00,7.999836008978251201e+00,7.999843510251849032e+00
4.100000000000000311e-01,6.688453153341190341e-13,8.196828389534632109e+00,5.560452455462977284e+00,8.136635088837364194e+00,8.187406277561850132e+00,8.193767066772382535e+00,8.195954676386525861e+00,8.196906834388924423e+00,8.197454785835198265e+00,8.197641554060352220e+00,8.197750960047542890e+00
4.199999999999999845e-01,1.088718587838036513e-13,8.398749706980785490e+00,5.564809930631123613e+00,8.188578053091397635e+00,8.397727521295728081e+00,8.399217141496661654e+00,8.399539168499719821e+00,8.399704432325712844e+00,8.399730616221235735e+00,8.399748964385885586e+00,8.399810129763611855e+00
4.299999999999999933e-01,-8.439490543780968513e-13,8.598968343509115542e+00,5.561159694733829539e+00,8.206642795797669976e+00,8.597752724003390412e+00,8.599288054272301807e+00,8.599556045112022318e+00,8.599784758303300691e+00,8.599751266693806073e+00,8.599792740007695002e+00,8.599880951775306315e+00
4.400000000000000022e-01,-9.564863318996106221e-13,8.795910669548975491e+00,5.568293622319259839e+00,8.626776547262986483e+00,8.771733590746602971e+00,8.784805884142084409e+00,8.789782868355516143e+00,8.792288002158086258e+00,8.793600511972915257e+00,8.794268800037443157e+00,8.794450303158996007e+00
4.500000000000000111e-01,-6.581942608758309504e-13,8.999100504951041302e+00,8.996735073532358129e+00,8.675458416320863009e+00,8.997176286979218673e+00,8.999226305467340481e+00,8.999616184903917571e+00,8.999737508148111687e+00,8.999793457227028171e+00,8.999764343993250648e+00,8.999829638405415722e+00
4.600000000000000200e-01,-2.204492127002272962e-13,9.199059233990270812e+00,9.168745866241918563e+00,8.683947722361708088e+00,9.196249545435655648e+00,9.199012885564661346e+00,9.199532224546251413e+00,9.199707092268981867e+00,9.199778998462809554e+00,9.199745791848792820e+00,9.199756986399613368e+00
4.700000000000000289e-01,2.242987867610389978e-13,9.398569199905326244e+00,9.390328158317096552e+00,8.694889897916743493e+00,9.344052941216192565e+00,9.391989225236631711e+00,9.396207315168616958e+00,9.397503011460237587e+00,9.398091360883382706e+00,9.398301408543966673e+00,9.398283210498705742e+00
4.799999999999999822e-01,3.948735567356016654e-13,9.599229047567231277e+00,9.597922988190788374e+00,8.703500957451108633e+00,9.595976127567086067e+00,9.599045663193400912e+00,9.599513567943224857e+00,9.599803993745348762e+00,9.599838582980293467e+00,9.599761676806600974e+00,9.599865043694171263e+00
4.899999999999999911e-01,2.195566042091529824e-13,9.799258817653056397e+00,9.797796878460546921e+00,8.708767017792803600e+00,9.792057713235934102e+00,9.798209315684111687e+00,9.799155052629641816e+00,9.799425220053844754e+00,9.799493001898561317e+00,9.799638407657454309e+00,9.799632244207714393e+00
5.000000000000000000e-01,-3.817181642621654294e-13,9.999331614060961826e+00,9.997715438673326460e+00,8.710078781846968710e+00,9.901018594217187996e+00,9.997101671736116302e+00,9.998748499387097866e+00,9.999114627785806064e+00,9.999349547724673215e+00,9.999524594926258558e+00,9.999543705917588454e+00
5.100000000000000089e-01,-1.358605933121560030e-12,1.019939176510727741e+01,1.019860388372607929e+01,8.756456488681157779e+00,1.019268994228345449e+01,1.019890559111150274e+01,1.019953918956511885e+01,1.019971673880707641e+01,1.019979883841464208e+01,1.019980872580685549e+01,1.019983317110132859e+01
5.200000000000000178e-01,-2.096274416144313053e-12,1.039927078213376710e+01,1.039727327443031690e+01,1.018263431644019867e+01,1.037455406267164371e+01,1.039466320201488436e+01,1.039730721096858979e+01,1.039825341753315513e+01,1.039863930872438935e+01,1.039891251302342745e+01,1.039880895929016447e+01
5.300000000000000266e-01,-1.545718270447141782e-12,1.059946663096050479e+01,1.059872217783976822e+01,1.020472337246406269e+01,1.058415925709710770e+01,1.059829437975801980e+01,1.059928562635704985e+01,1.059956835096577166e+01,1.059968451547930890e+01,1.059975623181807869e+01,1.059971571609050933e+01
