I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p05Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p15Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p25Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p35Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p45Phi0,V_normalized_flux_8p5Phi0
5.400000000000000355e-01,1.405992516767001886e-12,1.079945182928036296e+01,1.079891468421404532e+01,1.021851197071826434e+01,1.077985675227042606e+01,1.079828507854572095e+01,1.079933134162158126e+01,1.079958781998598560e+01,1.079978878874485915e+01,1.079971088665398504e+01,1.079983376042367915e+01
5.500000000000000444e-01,2.254778916750819361e-12,1.099905414923879654e+01,1.099491851996104685e+01,1.022940098576495593e+01,1.091610854915880147e+01,1.097096259812909125e+01,1.098728050857496008e+01,1.099315282134191207e+01,1.099512691961656152e+01,1.099591074629113230e+01,1.099610485718559616e+01
5.600000000000000533e-01,-1.750036361875564065e-12,1.119954993347704963e+01,1.119914951563079875e+01,1.023262999421944208e+01,1.095206649015537437e+01,1.119811283851381845e+01,1.119941326504956081e+01,1.119959994719645380e+01,1.119971142875458625e+01,1.119982987649126649e+01,1.119975837889350778e+01
5.700000000000000622e-01,-1.227658557933427875e-12,1.139955154409292248e+01,1.139903304070463363e+01,1.138646373276979595e+01,1.129783792341735271e+01,1.139637609179329836e+01,1.139879719709937156e+01,1.139918550369382899e+01,1.139939479279237311e+01,1.139963155062084077e+01,1.139949438662275050e+01
5.799999999999999600e-01,3.118335532778481405e-12,1.159960386555858491e+01,1.159911856364310090e+01,1.159565182871258315e+01,1.137240042417525743e+01,1.159571490545613415e+01,1.159864880049129887e+01,1.159921118254869121e+01,1.159943370460097078e+01,1.159953344470117820e+01,1.159956289918384087e+01
5.899999999999999689e-01,-3.115948888085961771e-12,1.179958626971780511e+01,1.179931263323666180e+01,1.179759056340185985e+01,1.140527909281910013e+01,1.179719873308545708e+01,1.179914842710057954e+01,1.179963190624402181e+01,1.179972919636842121e+01,1.179981879236635400e+01,1.179972889808121828e+01
5.999999999999999778e-01,2.797554351877805828e-12,1.199926350080067650e+01,1.199705275175353414e+01,1.198735710314398517e+01,1.141992432711741756e+01,1.197658653181101585e+01,1.198955809519896221e+01,1.199307037052812674e+01,1.199494244046455727e+01,1.199554763708177418e+01,1.199574731642501391e+01
6.099999999999999867e-01,-2.814161632051723129e-12,1.219965316414944745e+01,1.219937874404458178e+01,1.219818233278899022e+01,1.142283587899017938e+01,1.219583891917423379e+01,1.219897206917443100e+01,1.219945362386144261e+01,1.219974294060470932e+01,1.219974538469873515e+01,1.219972642336936097e+01
6.199999999999999956e-01,3.505529740238848482e-12,1.239969243027514167e+01,1.239940150816842568e+01,1.239803016600264129e+01,1.142304887175555272e+01,1.239251247398530786e+01,1.239835620276764061e+01,1.239919121076282060e+01,1.239942711266155939e+01,1.239951037319820948e+01,1.239959370116387660e+01
6.300000000000000044e-01,-4.009936910460090630e-12,1.259970865590705991e+01,1.259938911766013270e+01,1.259810436921901733e+01,1.144176501314557726e+01,1.258896242733800541e+01,1.259790926997339611e+01,1.259908076088082396e+01,1.259929309920879525e+01,1.259941625825327272e+01,1.259953508837679337e+01
6.400000000000000133e-01,1.835094979739729616e-12,1.279969814344425494e+01,1.279952119120773091e+01,1.279877821967418683e+01,1.145789684161681699e+01,1.279182417963851748e+01,1.279873274618942069e+01,1.279943911400045486e+01,1.279967751406919696e+01,1.279972722410142261e+01,1.279969108485575369e+01
6.500000000000000222e-01,2.883864131811701230e-12,1.299952047220007145e+01,1.299826277822698017e+01,1.299146374396075565e+01,1.145699100005815829e+01,1.294951353392632676e+01,1.298003057416804218e+01,1.298925188622045823e+01,1.299324817418994726e+01,1.299456279564141603e+01,1.299473834927075622e+01
6.600000000000000311e-01,-3.454174422831942795e-12,1.319975188630971097e+01,1.319956962588345029e+01,1.319902613241998246e+01,1.146752661715196631e+01,1.318425623295927451e+01,1.319850619996845964e+01,1.319943449669766800e+01,1.319957487349212322e+01,1.319974510371231879e+01,1.319966035189036369e+01
6.700000000000000400e-01,-3.927116129872641206e-12,1.339973777778765118e+01,1.339947593176235685e+01,1.339843759938558954e+01,1.146478304249107083e+01,1.336063078823047512e+01,1.339524986667178830e+01,1.339803281686507042e+01,1.339861600123698970e+01,1.339898018247744638e+01,1.339896494295204299e+01
6.800000000000000488e-01,-6.622053600720916276e-13,1.359980357264563544e+01,1.359963066812464660e+01,1.359916721169302889e+01,1.147222112040908470e+01,1.342686357364811833e+01,1.359772939136058234e+01,1.359914254563705605e+01,1.359942293059254048e+01,1.359964089159300471e+01,1.359959134187045571e+01
6.900000000000000577e-01,2.008278894682936915e-12,1.379977892897765912e+01,1.379965354365375063e+01,1.379918324416626696e+01,1.146909402066537709e+01,1.371078343105362407e+01,1.379702461955776727e+01,1.379892527400880198e+01,1.379937247298614977e+01,1.379948272957563304e+01,1.379954939018960403e+01
7.000000000000000666e-01,2.970444630979415874e-12,1.399974254359629100e+01,1.399967400323627409e+01,1.399912167086065828e+01,1.396359818197350577e+01,1.379519939060307365e+01,1.399474477228712388e+01,1.399818506268897522e+01,1.399892746249179254e+01,1.399926402190761721e+01,1.399927541527284447e+01
7.099999999999999645e-01,2.171354387429069404e-12,1.419981247872252617e+01,1.419970178146667550e+01,1.419937781085850581e+01,1.419754790673185596e+01,1.382834133100574014e+01,1.419647492023640822e+01,1.419897967941684946e+01,1.419943325391957245e+01,1.419955877893300489e+01,1.419959767528599848e+01
7.199999999999999734e-01,-1.198569993875144397e-12,1.439978970446258977e+01,1.439946338089999678e+01,1.439864143751207948e+01,1.439148315774371234e+01,1.384648902801361103e+01,1.435449916378833635e+01,1.439387874300781611e+01,1.439691943918873562e+01,1.439753593901820139e+01,1.439771850161762679e+01
7.299999999999999822e-01,-5.441557467813244252e-12,1.459982991145781561e+01,1.459974287937867565e+01,1.459950114659605624e+01,1.459827417827283114e+01,1.385897688543502326e+01,1.459500355632776980e+01,1.459885398359469910e+01,1.459940909815497712e+01,1.459956863663653337e+01,1.459955707086675680e+01
7.399999999999999911e-01,-3.289297174417491693e-12,1.479972616432724664e+01,1.479920507522703410e+01,1.479764763670460326e+01,1.478858932554753025e+01,1.386584170006454642e+01,1.476441951513886508e+01,1.478465594791850002e+01,1.479065771315777056e+01,1.479299196284166129e+01,1.479350745453982974e+01
7.500000000000000000e-01,5.741346876658567992e-12,1.499982012332762338e+01,1.499979255433650138e+01,1.499957092105043621e+01,1.499872210456960886e+01,1.387015494795623205e+01,1.499131850966288937e+01,1.499857664457153028e+01,1.499927827689873361e+01,1.499954247084029291e+01,1.499959080364610742e+01
7.600000000000000089e-01,-2.309796589515124419e-12,1.519976858246118745e+01,1.519942401081472028e+01,1.519830610511509761e+01,1.519371756722047628e+01,1.387573237606346588e+01,1.516206802530362374e+01,1.518752907075802128e+01,1.519306233840381815e+01,1.519419091077987005e+01,1.519464283577769059e+01
7.700000000000000178e-01,-6.900159703999373613e-13,1.539982642201393226e+01,1.539977236537843019e+01,1.539958835336199883e+01,1.539898205103483342e+01,1.388208409173484270e+01,1.538056259620343091e+01,1.539790105438581236e+01,1.539910649680207477e+01,1.539932142850058305e+01,1.539939098814214269e+01
7.800000000000000266e-01,6.165769554565297681e-13,1.559979753880795172e+01,1.559950523023100644e+01,1.559864320450404840e+01,1.559535307329769260e+01,1.388669096128480618e+01,1.553948802669312990e+01,1.558591553348638215e+01,1.559183296793621487e+01,1.559383583552178543e+01,1.559448878049395759e+01
7.900000000000000355e-01,2.706786238209369444e-12,1.579987270527329812e+01,1.579979166981643424e+01,1.579970670568450863e+01,1.579920186908606183e+01,1.389196723410132428e+01,1.558665519523958842e+01,1.579712289072484843e+01,1.579880650713034917e+01,1.579932497083146892e+01,1.579944869645628813e+01
8.000000000000000444e-01,-6.534708200265741770e-12,1.599981157276372734e+01,1.599955040616286794e+01,1.599877699030076172e+01,1.599591333399293980e+01,1.388938980077472074e+01,1.585311131222358760e+01,1.597699200116101892e+01,1.598831112216895711e+01,1.599190177779000521e+01,1.599282760001524295e+01
8.100000000000000533e-01,-5.851607344970400208e-12,1.619991087809161456e+01,1.619986196378854970e+01,1.619967812823887243e+01,1.619927910335886168e+01,1.389040839691653240e+01,1.590157242057771647e+01,1.619571647164785944e+01,1.619856017294855732e+01,1.619902604120523648e+01,1.619933055919516818e+01
8.200000000000000622e-01,-5.485973908939798221e-12,1.639986930818272270e+01,1.639977821984019712e+01,1.639947853895849050e+01,1.639860693419282356e+01,1.390171223487136309e+01,1.592110032447307866e+01,1.635688524013442802e+01,1.639361326357396820e+01,1.639622595744363664e+01,1.639672656583115895e+01
8.300000000000000711e-01,-3.150618641868057461e-12,1.659989847644482452e+01,1.659985626214211152e+01,1.659973788348271029e+01,1.659945505547969447e+01,1.389974719010668558e+01,1.593502897985194267e+01,1.659191791287939211e+01,1.659808297819972367e+01,1.659880058753870102e+01,1.659899332580374320e+01
8.399999999999999689e-01,-3.517068539912431101e-12,1.679990394528079989e+01,1.679985728258311539e+01,1.679968582348325512e+01,1.679943980019926997e+01,1.390440692728592609e+01,1.594646481027789342e+01,1.678430592787927011e+01,1.679694197472192840e+01,1.679832028655474474e+01,1.679852153841714824e+01
8.499999999999999778e-01,-6.470362280473080517e-12,1.699987606961333242e+01,1.699982918819937794e+01,1.699971471469798701e+01,1.699929368194995050e+01,1.390443246411725653e+01,1.594683817073307708e+01,1.697752765342644565e+01,1.699543554275399870e+01,1.699750559579229403e+01,1.699767395305613960e+01
8.599999999999999867e-01,-2.731616144359927786e-12,1.719988699940492438e+01,1.719984539546819846e+01,1.719976764052107399e+01,1.719961226815759758e+01,1.390549683638474754e+01,1.595382845202861688e+01,1.717345257928737823e+01,1.719688081411267788e+01,1.719835076842919364e+01,1.719868613818389491e+01
8.699999999999999956e-01,7.108659833953716802e-12,1.739987419435882643e+01,1.739978917731528085e+01,1.739960798914502860e+01,1.739915843516460114e+01,1.739703808712380351e+01,1.596118850431891190e+01,1.731702617593218108e+01,1.737493355965637676e+01,1.739118615709472593e+01,1.739291843996186060e+01
8.800000000000000044e-01,-6.119266280644579028e-12,1.759989116003713505e+01,1.759985358466126470e+01,1.759980943786597862e+01,1.759960665662609713e+01,1.759893657819122836e+01,1.596667032042959988e+01,1.735601285575213737e+01,1.759369482091956627e+01,1.759730275286392143e+01,1.759760626511112136e+01
8.900000000000000133e-01,6.804018892091689764e-12,1.779991808394331088e+01,1.779988475846897344e+01,1.779981432539250719e+01,1.779964463318741252e+01,1.779911709515511831e+01,1.596075934461597967e+01,1.756933711494093586e+01,1.779301344123645734e+01,1.779728833261957277e+01,1.779785768980072547e+01
9.000000000000000222e-01,-4.896790899057719602e-12,1.799993332226557996e+01,1.799990030374645755e+01,1.799981968785444764e+01,1.799954352684607883e+01,1.799859306994041219e+01,1.597383944501049591e+01,1.759776537538716923e+01,1.795576279828591026e+01,1.799157749551021013e+01,1.799375025174285980e+01
9.100000000000000311e-01,-5.550431538547562336e-12,1.819990997107916897e+01,1.819986798650439042e+01,1.819976620827529246e+01,1.819951137839269961e+01,1.819871608929494045e+01,1.597532707670760388e+01,1.761555683680307993e+01,1.817713565138554088e+01,1.819134704450851103e+01,1.819348642526987447e+01
9.200000000000000400e-01,-3.550617676551442611e-12,1.839994221852294132e+01,1.839991983446794421e+01,1.839984176678399663e+01,1.839969827464719643e+01,1.839926864567407705e+01,1.597081674463922063e+01,1.762569704702307760e+01,1.837507702238028884e+01,1.839388759483567881e+01,1.839564594017899068e+01
9.300000000000000488e-01,-5.384361933642199864e-12,1.859993790144819670e+01,1.859991750797405885e+01,1.859985720659902242e+01,1.859974655165624569e+01,1.859940204946009246e+01,1.597542733414933736e+01,1.763160568286942720e+01,1.855127258764748532e+01,1.859276631061097618e+01,1.859502772542138160e+01
9.400000000000000577e-01,-3.168402525947052688e-12,1.879991390505040272e+01,1.879989173199973251e+01,1.879982255894179843e+01,1.879970801538742720e+01,1.879939523705745685e+01,1.598025013724587851e+01,1.763442134661058347e+01,1.866728019409661243e+01,1.878905526008064442e+01,1.879306928991397996e+01
9.500000000000000666e-01,4.552765334410187517e-12,1.899995149696734487e+01,1.899991854828026661e+01,1.899989688190910542e+01,1.899979896938378232e+01,1.899957177137398290e+01,1.899862991282891755e+01,1.764638539287593844e+01,1.869551044867125000e+01,1.898222428902379022e+01,1.898991292109890594e+01
9.599999999999999645e-01,-2.107685945123704821e-12,1.919992625844016843e+01,1.919989538195052603e+01,1.919985843578662355e+01,1.919975327008443955e+01,1.919951781181591954e+01,1.919883833694878561e+01,1.764351023995326528e+01,1.883601276807705815e+01,1.916860024633831117e+01,1.918531435197800050e+01
9.699999999999999734e-01,-3.268970600588811128e-12,1.939992330710901314e+01,1.939988883782426754e+01,1.939985123403224065e+01,1.939974511791522360e+01,1.939952187588616894e+01,1.939885438741091050e+01,1.765321704423940474e+01,1.885566716456268566e+01,1.934006358903916833e+01,1.937606391090542601e+01
9.799999999999999822e-01,-2.088735022020112337e-12,1.959993683290266375e+01,1.959991095401029426e+01,1.959987136680491560e+01,1.959976298956702578e+01,1.959950324106715414e+01,1.959874549258439913e+01,1.765314453843443587e+01,1.886968415039456914e+01,1.943445375021525834e+01,1.954838040044986869e+01
9.899999999999999911e-01,8.935019915609764893e-13,1.979993403224498039e+01,1.979992559998319379e+01,1.979986941462897576e+01,1.979983701987264055e+01,1.979970977711068159e+01,1.979907552957480377e+01,1.765392888353375511e+01,1.887749404447419721e+01,1.954580834755477525e+01,1.968476915076977463e+01
1.000000000000000000e+00,1.999995888702753533e+01,1.999995001035386011e+01,1.999993124969663683e+01,1.999990260373152751e+01,1.999984817560233807e+01,1.999973085676927909e+01,1.999941626082215862e+01,1.766130321296048322e+01,1.888194545472739705e+01,1.956952500266068995e+01,1.978445276956011156e+01
1.010000000000000009e+00,2.019995635820307456e+01,2.019998675898270335e+01,2.019998295371453523e+01,2.019996929648168660e+01,2.019988434578746350e+01,2.019970539788690189e+01,2.019956052766531229e+01,1.766733737228470957e+01,1.888845956406136395e+01,1.961395510221507621e+01,1.984773358893650652e+01
1.020000000000000018e+00,2.039997306534354138e+01,2.039996347522405173e+01,2.039995231503133155e+01,2.039993943213497474e+01,2.039986400837347347e+01,2.039978076173965604e+01,2.039956717799060470e+01,2.039893527382229621e+01,1.889108447532076340e+01,1.963528534883542775e+01,1.987077908711467344e+01
1.030000000000000027e+00,2.059998644746870866e+01,2.059996175181251132e+01,2.059994276670139612e+01,2.059993385149160616e+01,2.059985200823541618e+01,2.059981668976038094e+01,2.059957314194915767e+01,2.059916480701680541e+01,1.889160685195114198e+01,1.965300922894443048e+01,1.989218819641118330e+01
1.040000000000000036e+00,2.079997389533205521e+01,2.079998520574655529e+01,2.079997397295181472e+01,2.079997384709616881e+01,2.079987971327876650e+01,2.079978753688992654e+01,2.079965530884607716e+01,2.079925546720787111e+01,1.889574807144483870e+01,1.966079647320960078e+01,1.991081997668631232e+01
1.050000000000000044e+00,2.099996270929018038e+01,2.099996082942152142e+01,2.099996786161013773e+01,2.099995466672919520e+01,2.099992762505904409e+01,2.099983215715961649e+01,2.099967378899070880e+01,2.099928030940709434e+01,1.890840224156105265e+01,1.966640038132300816e+01,1.991995895638687131e+01
1.060000000000000053e+00,2.119996087437369070e+01,2.119999276448038117e+01,2.119999891905923661e+01,2.119999912939287512e+01,2.119992026690426457e+01,2.119979242389758767e+01,2.119973024017189189e+01,2.119942569377332120e+01,1.890412608911671555e+01,1.967198877542108093e+01,1.992693469055047828e+01
1.070000000000000062e+00,2.139997257125306618e+01,2.139998767883615116e+01,2.139998883724179279e+01,2.139998979429255499e+01,2.139991533827490855e+01,2.139982975445530045e+01,2.139972187733532039e+01,2.139944005209441258e+01,1.890799006862255638e+01,1.967694856176481011e+01,1.993273789576370447e+01
1.080000000000000071e+00,2.159995597193967853e+01,2.159997964309220464e+01,2.159999889268738471e+01,2.159999300718465420e+01,2.159995627333943347e+01,2.159981731177696673e+01,2.159978942655001433e+01,2.159952874684874402e+01,2.159905642861459540e+01,1.967802299361504836e+01,1.993750151416895378e+01
1.090000000000000080e+00,2.179998418739192800e+01,2.179998446297912551e+01,2.179998463912563977e+01,2.179998639960776785e+01,2.179992556688116778e+01,2.179986896465358726e+01,2.179975872332003917e+01,2.179956283026329444e+01,2.179916483653216019e+01,1.968073987695336413e+01,1.994307493813907683e+01
1.100000000000000089e+00,2.199998682345085399e+01,2.199996717109328159e+01,2.199998184152884306e+01,2.199997468319105209e+01,2.199996734529280928e+01,2.199985702811227739e+01,2.199983085439020414e+01,2.199960385014615483e+01,2.199920129501206034e+01,1.968497952898313841e+01,1.994757511926070492e+01
